Patron ID,Arrival Time,Turnaround Time,Waiting Time,Response Time
0,44,305,5,305
2,374,65,25,32
10,1015,211,101,50
12,1363,70,40,70
14,1587,107,67,40
8,880,1477,1307,42
22,2465,61,51,61
24,2473,400,270,77
26,2780,532,282,145
28,3048,357,257,77
34,3608,78,18,47
38,4070,111,81,110
42,4410,250,160,250
43,4509,300,210,300
46,4724,100,90,100
52,5300,105,15,24
55,5655,225,135,225
61,6180,226,116,13
70,7208,409,319,86
77,7880,263,163,28
71,7140,1217,1047,548
87,8828,72,62,72
88,8993,213,73,60
89,9175,53,3,53
90,9048,322,242,322
93,9308,291,201,147
101,10202,107,97,107
108,10878,263,213,165
111,11183,55,25,55
110,11212,295,205,39
112,11282,330,240,33
114,11668,123,83,60
116,11828,136,86,136
121,12194,125,95,79
117,11942,752,592,60
95,9507,3402,3222,3402
133,13503,148,98,148
134,13623,200,120,94
150,15237,118,38,118
142,14468,1992,1892,84
168,16884,118,88,118
169,16988,46,26,35
84,8596,8475,8375,103
174,17439,214,164,214
152,15319,2807,2627,2807
147,14859,3874,3654,147
188,18925,111,81,90
189,19187,26,6,15
193,19518,290,80,44
199,20039,1125,1035,1125
200,20031,1327,1187,258
215,21703,128,48,128
218,21927,116,106,116
217,21998,125,35,125
221,22219,414,144,72
224,22564,72,62,72
226,22880,262,82,149
229,23183,175,75,33
231,23349,102,92,102
236,23807,117,67,117
238,23997,93,43,93
245,24601,224,164,120
246,24716,175,75,33
206,20785,4237,4047,711
252,25293,207,97,60
250,25260,389,289,75
257,25735,102,52,102
260,26137,36,26,36
264,26515,67,7,36
262,26218,577,487,577
274,27621,123,73,123
279,27937,366,256,150
282,28431,178,138,46
285,28640,301,81,118
297,29787,87,37,39
303,30448,85,35,85
293,29462,1382,1292,1382
330,33221,97,87,97
329,32957,901,811,901
338,33860,146,66,146
341,34231,112,82,112
374,37563,218,168,218
375,37730,316,196,60
373,37565,592,352,106
380,38242,67,57,67
385,38634,376,276,21
400,40095,120,30,120
391,39355,929,799,52
401,40226,131,121,131
388,39071,1519,1399,31
398,40026,1005,845,44
408,40947,573,353,262
411,41323,561,411,29
417,41785,187,157,187
423,42448,84,54,84
432,43407,779,689,779
440,44286,67,57,67
442,44278,129,79,129
418,41862,3002,2722,35
460,46161,63,53,63
464,46482,96,66,96
461,46284,455,365,115
467,46855,208,38,109
470,47265,182,152,182
473,47549,90,70,78
477,47860,326,146,232
479,48108,123,53,58
491,49160,90,30,38
485,48528,741,571,32
480,48177,1251,1131,107
495,49623,164,84,164
486,48714,1478,1278,84
463,46408,4558,4328,34
481,48352,3802,3422,82
444,44438,7961,7861,7961
428,42950,9751,9651,9751
494,49434,3571,3391,275
492,49499,3579,3349,60
498,50050,3265,3055,121
98,10020,43682,43392,103
230,23082,30864,30744,150
211,21265,33153,33013,104
228,22934,31998,31898,31998
66,6641,48539,48439,48539
109,11196,44478,44328,97
198,20010,35787,35547,72
27,2807,53121,52881,82
225,22517,33536,33356,228
259,26102,30231,29971,59
106,10840,45941,45671,171
307,30906,26651,26401,116
74,7633,50054,49954,50054
309,31175,26720,26400,46
318,31827,26296,26196,26296
161,16331,42422,42322,42422
346,34868,24793,24553,36
340,34126,26390,26140,138
358,35863,25000,24750,108
170,17246,44171,43981,86
140,14009,47780,47520,120
299,29946,32591,32491,32591
342,34210,28418,28288,118
452,45305,17713,17593,17713
389,38987,24507,24387,24507
410,41033,23329,23199,27
396,39878,24899,24539,24774
192,19258,46298,45878,89
399,39997,25896,25746,35
205,20650,45530,45320,115
50,5212,61119,60609,97
271,27247,39331,39081,128
409,40935,25949,25549,78
370,37273,29895,29725,177
407,40997,26451,26321,55
404,40520,27248,26968,82
49,5133,63063,62763,26
208,20945,47260,47130,104
419,42079,26402,26122,13
426,42891,25870,25650,8594
443,44495,24517,24247,51
203,20416,48823,48413,44
427,42874,26534,26414,26534
434,43559,26146,25906,153
11,1399,68993,68643,67
216,21856,48687,48537,94
437,43875,26811,26611,121
448,44973,26162,25942,6738
233,23302,48479,48089,239
232,23293,49173,49053,49173
102,10412,62173,62043,134
242,24300,48418,48178,49
113,11414,61803,61583,119
475,47664,26156,25766,137
239,24190,49881,49761,49881
482,48269,26074,25884,41
490,49125,25868,25538,1620
248,24972,50085,49965,50085
25,2621,72938,72518,70
253,25571,50122,49862,170
254,25596,50195,49995,64
59,6163,70201,69911,86
129,13016,63738,63428,125
280,28071,48853,48653,86
130,13046,64002,63592,144
283,28476,48739,48559,28
343,34478,43222,43102,43222
162,16478,61514,61294,12
294,29548,48833,48543,38
298,29886,48621,48421,74
296,29706,48956,48706,107
301,30145,48577,48327,264
156,15718,63940,63710,17
146,14697,65102,64982,65102
308,31003,48907,48617,488
3,396,79687,79187,195
453,45586,34765,34385,126
320,32117,48442,48222,26244
157,15853,64964,64794,131
326,32653,48295,48095,67
35,3763,77528,77288,26
17,1774,79838,79698,19
363,36394,45392,45202,101
369,36987,45136,44826,28
36,3775,78907,78577,87
355,35752,47132,46952,25
362,36395,47048,46828,244
372,37331,47187,46977,48
47,4880,80077,79877,80077
379,38025,47339,47139,47339
377,37844,47722,47222,46
40,4033,81735,81365,263
405,40537,45448,44908,75
402,40202,46176,45976,46176
386,38784,48012,47672,23
394,39484,47733,47533,47733
395,39537,48491,47861,80
99,9912,78313,78113,78313
406,40751,47677,47117,91
6,833,88018,87498,103
48,4877,84451,84161,92
381,38224,52192,51772,152
105,10550,80061,79861,80061
209,20993,69758,69558,69758
204,20539,70500,70130,103
51,5206,86044,85514,25
431,43155,48476,47926,57
445,44730,47342,47042,332
446,44744,47542,47342,47542
118,12081,80381,80161,44
219,22085,70604,70404,70604
