Patron ID,Arrival Time,Turnaround Time,Waiting Time,Response Time
0,46,214,14,214
1,352,154,144,154
3,306,174,24,17
2,367,270,170,270
4,571,873,73,541
5,678,1390,820,843
6,684,2498,1448,1517
7,791,3499,2509,2920
8,906,3487,3387,3487
9,931,3618,3528,3497
10,1093,3543,3493,3543
11,1127,4440,3530,3590
12,1320,4379,4279,4379
14,1407,4322,4312,4322
13,1498,5676,4366,4538
15,1568,5722,5642,5623
17,1803,6187,5507,5582
18,1868,7099,6509,6797
16,1866,7219,6759,6189
19,1978,7144,7134,7144
20,2175,7063,6943,7063
21,2229,7375,7025,7137
22,2252,7412,7352,7355
23,2565,7130,7120,7130
25,2605,7642,7172,7225
24,2653,7693,7613,7693
26,2833,7760,7510,7496
27,2907,7938,7768,7827
28,2935,8039,7939,7944
32,3200,8166,7786,7863
29,3196,8856,8246,8279
30,3246,8947,8847,8947
31,3305,9312,8962,8997
33,3409,9300,9210,9300
34,3447,9506,9336,9278
35,3647,9898,9308,9363
37,3712,10364,9894,9970
36,3746,11348,10548,10381
38,3928,11698,11358,11227
39,4038,12452,11652,11802
40,4229,12866,12226,12273
42,4263,13381,13071,12879
41,4275,14036,13266,13065
43,4328,14593,14083,14096
44,4615,14584,14314,14316
45,4690,14980,14480,14980
46,4715,16134,14984,15476
48,4892,16282,15982,16282
47,4920,16786,16256,16318
49,5019,16828,16738,16737
50,5091,17686,16976,16842
51,5190,17754,17614,17605
52,5415,18567,17567,17817
53,5551,18871,18471,18570
54,5590,18943,18833,18839
55,5772,18793,18763,18793
56,5775,19814,18874,19026
58,5827,19900,19810,19900
57,5990,20890,19780,20213
59,6055,21238,20888,20977
60,6064,21953,21303,21314
61,6209,22109,21809,22109
62,6400,22045,21925,22045
65,6560,22489,21959,22034
63,6590,22894,22564,22568
64,6653,22986,22816,22876
66,6826,23611,22991,23153
67,6826,23733,23523,23404
68,7065,23725,23545,23525
69,7124,24234,23674,23945
70,7175,24419,24289,24289
71,7274,24589,24409,24421
73,7381,24729,24549,24630
72,7441,25489,24679,24687
75,7529,25567,25417,25499
74,7647,26335,25485,25512
76,7742,26598,26298,26598
78,7939,26449,26419,26449
77,7979,27059,26449,26546
79,8087,27715,27025,27281
80,8151,27959,27709,27665
81,8367,27933,27733,27933
83,8417,28764,28474,28015
82,8418,29304,28464,28737
84,8586,29271,29171,29271
85,8694,29319,29199,29214
86,8836,29248,29188,29237
88,8874,29727,29287,29554
87,8951,29993,29663,29662
89,9106,29919,29829,29919
91,9162,30297,29907,30181
92,9225,30935,30605,30233
90,9223,31273,30643,30368
93,9469,31095,31045,31095
94,9589,31896,30986,31079
95,9645,31852,31802,31852
98,9820,32318,31808,32257
96,9839,32295,32255,32262
97,9878,32481,32281,32481
99,10048,32592,32382,32462
100,10169,32942,32582,32524
101,10321,32908,32858,32878
102,10380,33055,32855,32889
103,10509,33277,33007,33039
104,10557,33680,33240,33534
105,10765,33987,33477,33977
106,10803,34659,33969,33972
107,10969,35533,34533,35029
108,11089,35661,35421,35536
109,11130,36174,35674,36174
110,11162,36754,36164,36649
111,11346,36795,36675,36644
113,11413,36754,36744,36754
112,11430,37371,36781,36858
114,11433,38310,37450,37484
116,11600,39138,38158,38249
115,11735,39454,39114,39075
118,11928,39961,39321,39292
120,12028,40958,40038,40042
117,11999,41089,40989,40967
119,11965,41967,41177,41194
121,12209,42050,41880,41872
123,12432,41771,41761,41771
124,12442,41867,41777,41867
122,12477,42015,41805,42000
125,12725,42414,41904,41899
126,12737,42454,42444,42454
127,12863,42934,42424,42339
128,12899,43462,42952,42950
129,12959,43530,43420,43415
131,13243,43895,43265,43268
130,13299,44528,43978,43913
133,13413,44992,44462,44942
132,13385,45008,44978,45008
134,13464,45526,45116,45228
135,13581,45904,45454,45426
136,13760,45857,45797,45806
137,13834,46446,45896,46004
138,14007,47005,46505,46602
139,14005,47077,46837,46803
141,14306,46558,46528,46558
142,14246,46597,46507,46522
146,14735,47133,46873,46878
140,14259,48709,48609,48709
143,14587,48875,48285,46535
145,14757,48892,47572,47221
144,14607,49159,49009,47119
147,14806,49317,49187,49238
148,14847,49806,49366,48925
149,15104,50340,49620,50083
150,15135,51183,50353,50437
151,15396,52632,51622,51894
152,15342,52733,52093,51072
156,15619,53544,53254,53335
154,15607,54124,54084,54088
153,15556,54227,53007,53086
155,15680,54427,54177,54270
158,15861,54882,54772,54772
157,15846,55336,54416,54762
159,15985,56575,55245,55695
160,16097,56955,56625,56533
162,16247,56930,56840,56930
161,16344,58334,56934,57016
164,16420,58351,58331,58328
163,16495,58918,58428,58490
165,16539,60167,58957,59084
167,16711,60476,60066,60312
166,16895,60904,60494,60396
168,17025,61583,60843,60918
169,17120,61816,61516,61816
170,17160,62235,61855,61893
171,17237,63155,62265,62224
172,17388,64149,63069,63117
173,17543,64476,64066,64103
174,17583,64647,64507,64459
175,17586,66058,64738,64775
176,17806,66193,65893,66193
177,17955,66718,66108,66095
180,18035,67316,66736,66769
178,18056,68231,67451,67669
179,18090,68643,68273,68338
182,18403,69161,68541,68425
181,18391,69482,69092,68440
183,18503,69681,69471,69494
184,18624,69575,69565,69575
185,18745,70526,70026,69517
186,18769,70677,70047,70254
187,18939,70639,70559,70607
189,18998,71541,70761,70642
188,19084,71894,71554,71509
190,19298,71743,71693,71743
191,19327,73287,71877,72227
192,19425,73308,73218,73308
193,19594,74256,73226,73207
194,19647,74725,74225,74725
197,19746,75513,74953,74650
195,19783,75772,75342,74818
196,19891,76736,75786,75825
198,19959,77451,76791,76951
199,20117,77393,77343,77393
200,20211,77551,77351,77317
202,20264,77666,77516,77560
201,20339,77781,77601,77686
203,20391,77931,77751,77715
204,20453,78586,78186,78177
205,20548,79104,78284,77917
206,20800,79501,79101,79190
207,20872,80192,79482,79541
210,21001,81015,80225,80179
209,21073,81113,81003,80998
208,21093,81216,81096,81216
212,21237,81558,81058,81558
211,21299,81808,81578,81660
213,21355,81766,81756,81766
214,21473,81949,81759,81820
215,21626,82638,81938,82344
216,21707,82961,82541,82730
219,22000,83053,82753,83053
218,21968,83279,83149,82761
217,21997,83401,83251,83267
220,22215,83449,83249,83449
222,22252,83441,83411,83441
221,22283,83599,83469,83471
224,22550,83944,83414,83894
226,22612,85168,84368,84150
223,22468,85793,84843,84252
225,22696,86470,85830,85923
227,22764,86578,86438,86396
229,23005,86664,86424,86468
228,23044,87231,86841,86776
230,23115,87834,87294,87361
231,23186,88664,87844,87984
233,23386,88558,88478,88558
232,23465,88495,88485,88495
235,23623,88983,88363,88465
236,23648,89046,88946,89046
234,23648,89247,89057,89137
237,23844,89086,89056,89086
240,24044,89167,88967,89026
238,24078,89358,89168,89256
239,24089,89389,89369,89370
241,24276,89575,89355,89295
242,24410,90218,89648,89961
243,24441,90779,90249,90732
244,24669,90808,90568,90562
246,24750,90949,90749,90949
245,24789,90972,90922,90972
247,24887,91477,90957,91104
249,24998,91428,91408,91412
248,25076,91905,91415,91431
251,25125,92442,92012,91978
250,25284,92527,92317,92324
253,25333,92695,92495,92470
254,25456,93223,92683,92730
252,25488,93283,93203,93283
255,25705,93571,93181,93178
256,25860,94473,93463,93460
257,25913,94747,94497,94567
258,26037,94724,94624,94724
260,26024,95243,94743,95243
259,26184,95386,95136,95248
262,26401,95391,95281,95334
261,26385,95479,95369,95263
264,26501,96193,95443,95460
263,26565,96834,96224,96600
266,26609,96936,96756,96720
265,26639,97681,96991,96930
268,26809,97618,97568,97547
267,26907,97752,97562,97546
270,27002,97742,97642,97742
269,27174,98295,97655,97612
271,27293,98586,98216,98376
274,27406,99008,98588,98541
275,27504,100885,99555,99474
272,27494,101152,100442,100592
273,27515,101565,101225,101223
276,27684,101567,101417,101410
277,27818,101680,101480,101680
279,27919,102233,101553,101631
278,28032,102301,102171,102270
281,28190,102196,102096,102196
280,28198,102307,102207,102307
282,28492,102907,102127,102372
283,28506,103105,102915,103012
284,28560,103895,103155,103072
286,28643,104313,103893,104062
285,28656,104436,104316,104436
287,28716,105019,104369,104660
288,28919,104894,104864,104894
290,29000,105200,104880,104809
289,29158,105428,105128,105224
291,29189,106604,105484,105736
292,29282,107409,106629,106846
293,29337,107457,107377,107457
295,29558,107558,107268,107339
294,29688,107595,107475,107455
296,29722,107589,107579,107589
297,29761,107701,107571,107660
298,30096,108195,107485,107688
299,30188,108665,108195,108244
300,30290,108767,108567,108767
301,30315,109077,108777,109077
302,30369,109550,109020,109032
303,30438,110369,109569,110026
304,30573,110918,110318,110753
305,30767,111967,110747,110893
307,30871,113042,111952,112426
306,30875,113333,113063,113068
309,30964,113561,113261,113561
308,31081,113535,113445,113535
310,31230,113951,113441,113596
312,31241,114687,114027,114000
311,31364,114960,114690,114611
314,31495,115150,114960,114895
313,31517,115139,115089,115139
316,31607,115222,115142,115222
315,31621,116068,115368,115728
317,31847,116136,115856,115886
318,31882,117112,116262,116200
319,32114,117811,117041,117096
320,32161,117903,117753,117763
322,32243,118128,117878,118065
321,32313,118639,118039,118529
324,32613,119585,119115,118856
323,32589,119761,119061,118480
325,32667,120234,119724,120211
326,32694,120812,120242,120515
327,32842,120895,120665,120693
328,32922,122001,120891,120864
329,32968,122560,121980,122017
330,33003,122650,122530,122650
331,33186,122580,122470,122502
333,33333,122653,122453,122559
332,33468,122973,122553,122658
335,33582,123071,122871,123071
334,33598,123751,123051,123040
336,33705,124021,123741,123887
337,33731,124303,124013,124087
338,33830,124828,124228,124298
340,34063,125370,124620,124611
339,34065,125680,125380,125570
341,34161,125773,125603,125710
342,34406,125613,125483,125490
344,34435,126002,125702,126002
343,34412,126327,125937,125693
345,34716,126048,126038,126048
346,34867,126442,125902,126007
347,34990,126929,126389,126386
349,34993,126970,126940,126970
348,35019,127085,126955,127069
350,35100,128032,127062,127062
351,35266,127925,127875,127925
352,35305,128539,127929,127980
353,35523,128337,128327,128337
354,35536,128432,128332,128338
355,35550,128622,128422,128622
356,35770,129580,128430,128494
358,35867,130448,129548,129825
357,35904,130736,130426,130612
360,36049,130994,130624,130716
359,36164,131591,130911,130891
362,36358,131599,131399,131599
361,36391,131954,131764,131860
363,36409,132902,132392,131751
364,36409,133478,132348,131625
366,36626,134256,133316,133793
365,36629,134416,134266,134382
367,36813,135463,134253,134339
369,36934,135796,135386,135449
368,37004,136450,135730,135705
371,37251,137565,136415,136250
370,37272,137823,137573,137208
372,37370,138159,137939,137896
375,37508,138628,138128,138351
373,37542,139116,138826,138615
374,37630,139742,138942,138739
377,37763,140329,139819,139999
376,37816,140462,140372,140368
379,38003,140676,140376,140266
378,38064,140850,140720,140694
380,38086,141077,140847,140876
381,38248,141068,140968,141068
382,38264,141958,141108,141114
383,38351,142087,141997,141959
384,38506,142440,142090,142212
385,38666,142819,142459,142341
388,38812,142942,142702,142818
386,38878,144225,142975,143017
389,38905,144262,144252,144262
387,38960,144655,144305,144234
390,39253,145084,144454,144473
391,39268,145701,145151,145141
393,39395,145635,145605,145635
392,39411,145667,145647,145652
394,39504,146322,145622,146118
395,39540,146393,146293,146317
396,39606,146808,146438,146578
397,39847,147414,146604,146598
398,39938,147945,147445,147447
399,40011,148666,147896,148171
400,40108,149191,148681,149145
401,40389,148937,148927,148937
402,40499,149061,148841,148952
403,40576,149150,148960,149041
405,40609,149158,149148,149158
406,40616,149786,149166,149662
404,40648,150371,149811,150262
407,40709,150516,150316,150516
409,41010,150502,150252,150329
408,41021,150714,150494,150494
410,41158,151527,150697,150924
412,41324,151842,151342,151842
411,41385,152124,151864,151892
413,41457,152230,152120,152147
414,41458,152355,152265,152355
415,41549,152779,152349,152585
417,41873,153253,153023,152972
416,41844,153327,152787,152557
418,41956,153471,153271,153471
419,42014,153998,153508,153423
421,42111,154228,154108,153964
420,42113,154751,154161,154176
423,42454,154408,154398,154408
422,42488,155271,154471,154446
424,42563,155832,155252,155731
426,42718,155773,155693,155773
425,42767,155997,155837,155757
427,42773,156383,156073,155977
428,42967,157614,156814,156318
430,43075,157600,157220,157166
429,43129,158376,157546,157291
431,43317,158615,158315,158384
432,43354,158684,158604,158684
433,43411,159200,158700,158647
434,43582,159137,159057,159137
435,43685,159276,159056,159166
437,43750,159346,159196,159238
436,43824,159677,159397,159524
438,43941,160493,159663,160095
440,44062,161630,160510,160882
439,44089,162002,161762,161702
442,44213,162405,161975,161986
443,44367,162377,162257,162377
441,44394,162365,162355,162365
444,44421,162808,162408,162453
445,44552,163271,162771,163271
446,44674,163715,163205,163191
447,44721,163724,163714,163724
448,44961,163835,163535,163835
450,45107,164547,163747,164235
449,45127,164592,164542,164592
451,45242,165237,164607,164712
453,45326,165368,165198,165262
452,45335,165779,165559,165417
454,45481,165727,165637,165727
456,45682,166370,165630,165831
455,45703,166854,166354,166854
457,45740,167536,166956,167187
458,46031,167265,167235,167265
459,46122,168012,167372,167559
460,46192,168337,168017,168096
462,46299,168972,168302,168747
461,46357,169081,168881,169081
464,46415,170040,169210,169134
463,46557,171062,170012,170444
465,46712,171555,170955,171228
466,46755,172131,171701,171649
467,46768,172727,172207,172179
468,47015,173026,172566,172567
470,47053,173494,172994,173494
469,47082,174090,173490,173973
472,47281,174766,174036,173891
471,47355,174786,174756,174786
473,47445,175284,174814,174925
474,47459,176055,175345,175376
475,47512,176378,176128,176112
476,47614,177166,176366,176609
478,47993,176891,176801,176891
477,47982,176928,176908,176785
480,48023,177109,176999,176985
479,48179,177761,177111,177033
481,48232,177997,177757,177806
482,48376,178020,177950,177910
483,48448,178477,177967,178460
485,48571,178840,178450,178469
484,48591,179345,178975,179071
486,48828,179768,179158,179213
489,48929,179625,179615,179625
487,48871,180076,179616,179631
488,49073,180133,180053,180058
490,49299,180875,180105,180528
491,49340,181467,180927,181144
492,49353,181880,181500,181566
493,49518,181832,181732,181832
494,49523,182551,181871,182362
495,49636,183224,182594,182997
496,49704,183712,183202,183186
497,49885,183761,183581,183642
499,49976,183789,183699,183789
498,50072,184467,183747,183911
